sbj,Session,Condition,Score,condition
17,2,8,63.0782524818134,Flanker
17,3,1,24.88043085085,MATB_easy
17,3,2,36.8413648969093,MATB_med
17,3,3,62.6924158996825,MATB_diff
17,3,4,26.0379405972429,ZeroBack
17,3,5,44.5580965395282,OneBack
17,3,6,48.0306257787066,TwoBack
17,3,7,32.5971624934689,PVT
17,3,8,56.9048671677183,Flanker
18,1,1,57,MATB_easy
18,1,2,85,MATB_med
18,1,3,102,MATB_diff
18,1,4,37,ZeroBack
18,1,5,57,OneBack
18,1,6,71,TwoBack
18,1,7,71,PVT
18,1,8,85,Flanker
18,2,1,24.1087576865882,MATB_easy
18,2,2,85,MATB_med
18,2,3,101.276074112777,MATB_diff
18,2,4,25,ZeroBack
18,2,5,35.2980185683855,OneBack
18,2,6,58.4482134962421,TwoBack
18,2,7,71,PVT
18,2,8,84.2992644990153,Flanker
18,3,1,25.266267432981,MATB_easy
18,3,2,59.6057232426349,MATB_med
18,3,3,87.0001205739319,MATB_diff
18,3,4,26.0379405972429,ZeroBack
18,3,5,37,OneBack
18,3,6,57,TwoBack
18,3,7,86.614283991801,PVT
18,3,8,86.614283991801,Flanker
19,1,1,44.9439331216591,MATB_easy
19,1,3,109.764478919658,MATB_diff
19,1,4,13.3053333869217,ZeroBack
19,1,5,65.0074353924682,OneBack
19,1,6,85,TwoBack
19,1,7,56.1331940034565,PVT
19,1,8,101.661910694908,Flanker
19,2,1,25.266267432981,MATB_easy
19,2,2,42.6289136288734,MATB_med
19,2,3,96.2601985450746,MATB_diff
19,2,4,31.0538161649451,ZeroBack
19,2,5,42.2430770467425,OneBack
19,2,6,49.9598086893614,TwoBack
19,2,7,41.0855673003497,PVT
19,2,8,49.9598086893614,Flanker
19,3,1,23.7229211044572,MATB_easy
19,3,2,37.9988746433021,MATB_med
19,3,3,71.1808207065632,MATB_diff
19,3,4,18.707045536755,ZeroBack
19,3,5,24.4945942687191,OneBack
19,3,6,57.6765403319802,TwoBack
19,3,7,30.2821430006833,PVT
19,3,8,43.7864233752663,Flanker
20,1,1,13,MATB_easy
20,1,2,25,MATB_med
20,1,3,71,MATB_diff
